"1";"L'Abergement-Clémenciat";"L ABERGEMENT CLEMENCIAT";"01400";"1001";"82";"46.15";"4.916667";"1.46"
"2";"L'Abergement-de-Varey";"L ABERGEMENT DE VAREY";"01640";"1002";"82";"46";"5.416667";"1"
"3";"Amareins";"AMAREINS";"01090";"1003";"82";"46.083333";"4.8";"1.85"
"4";"Ambérieu-en-Bugey";"AMBERIEU EN BUGEY";"01500";"1004";"82";"45.95";"5.35";"0.8"
"5";"Ambérieux-en-Dombes";"AMBERIEUX EN DOMBES";"01330";"1005";"82";"46";"4.9";"1.72"
"6";"Ambléon";"AMBLEON";"01300";"1006";"82";"45.75";"5.6";"2.01"
"7";"Ambronay";"AMBRONAY";"01500";"1007";"82";"46";"5.35";"1.34"
"8";"Ambutrix";"AMBUTRIX";"01500";"1008";"82";"45.933333";"5.333333";"0.9"
"9";"Andert-et-Condon";"ANDERT ET CONDON";"01300";"1009";"82";"45.8";"5.65";"1.71"
"10";"Anglefort";"ANGLEFORT";"01350";"1010";"82";"45.916667";"5.808333";"-1"
"11";"Apremont";"APREMONT";"01100";"1011";"82";"46.208333";"5.658333";"1.46"
"12";"Aranc";"ARANC";"01110";"1012";"82";"46";"5.5";"1.01"
"13";"Arandas";"ARANDAS";"01230";"1013";"82";"45.9";"5.483333";"1.11"
"14";"Arbent";"ARBENT";"01100";"1014";"82";"46.3";"5.683333";"1.39"
"15";"Arbignieu";"ARBIGNIEU";"01300";"1015";"82";"45.733333";"5.65";"2.11"
"16";"Arbigny";"ARBIGNY";"01190";"1016";"82";"46.466667";"4.966667";"2.31"
"17";"Argis";"ARGIS";"01230";"1017";"82";"45.933333";"5.483333";"0.9"
"18";"Armix";"ARMIX";"01510";"1019";"82";"45.85";"5.583333";"1.41"
"19";"Ars-sur-Formans";"ARS SUR FORMANS";"01480";"1021";"82";"45.983333";"4.816667";"1.8"
"20";"Artemare";"ARTEMARE";"01510";"1022";"82";"45.866667";"5.7";"1.31"
"21";"Asnières-sur-Saône";"ASNIERES SUR SAONE";"01570";"1023";"82";"46.383333";"4.883333";"1.81"
"22";"Attignat";"ATTIGNAT";"01340";"1024";"82";"46.283333";"5.166667";"1.21"
"23";"Bâgé-la-Ville";"BAGE LA VILLE";"01380";"1025";"82";"46.316667";"4.95";"1.41"
"24";"Bâgé-le-Châtel";"BAGE LE CHATEL";"01380";"1026";"82";"46.3";"4.933333";"1.4"
"25";"Balan";"BALAN";"01360";"1027";"82";"45.833333";"5.1";"1.51"
"26";"Baneins";"BANEINS";"01990";"1028";"82";"46.116667";"4.9";"1.51"
"27";"Beaupont";"BEAUPONT";"01270";"1029";"82";"46.4";"5.266667";"1.91"
"28";"Bellignat";"BELLIGNAT";"01810";"1031";"82";"46.25";"5.616667";"1.5"
"29";"Béligneux";"BELIGNEUX";"01360";"1032";"82";"45.866667";"5.116667";"1.31"
"30";"Bellegarde-sur-Valserine";"BELLEGARDE SUR VALSERINE";"01200";"1033";"82";"46.1";"5.816667";"1.61"
"31";"Belley";"BELLEY";"01300";"1034";"82";"45.766667";"5.683333";"1.91"
"32";"Belleydoux";"BELLEYDOUX";"01130";"1035";"82";"46.25";"5.766667";"1.72"
"33";"Bénonces";"BENONCES";"01470";"1037";"82";"45.833333";"5.483333";"1.7"
"34";"Bény";"BENY";"01370";"1038";"82";"46.333333";"5.283333";"1.51"
"35";"Béon";"BEON";"01350";"1039";"82";"45.833333";"5.75";"1.51"
"36";"Béréziat";"BEREZIAT";"01340";"1040";"82";"46.366667";"5.05";"1.71"
"37";"Bettant";"BETTANT";"01500";"1041";"82";"45.933333";"5.366667";"1.21"
"38";"Bey";"BEY";"01290";"1042";"82";"46.216667";"4.85";"1.68"
"39";"Beynost";"BEYNOST";"01700";"1043";"82";"45.833333";"5";"1.51"
"40";"Billiat";"BILLIAT";"01200";"1044";"82";"46.066667";"5.783333";"1.5"
"41";"Birieux";"BIRIEUX";"01330";"1045";"82";"45.95";"5.033333";"1.06"
"42";"Biziat";"BIZIAT";"01290";"1046";"82";"46.216667";"4.933333";"1.51"
"43";"Blyes";"BLYES";"01150";"1047";"82";"45.85";"5.25";"1.41"
"44";"Bohas";"BOHAS";"01250";"1048";"82";"46.166667";"5.4";"0.52"
"45";"La Boisse";"LA BOISSE";"01120";"1049";"82";"45.85";"5.033333";"1.41"
"46";"Boissey";"BOISSEY";"01190";"1050";"82";"46.383333";"5";"1.81"
"47";"Bolozon";"BOLOZON";"01450";"1051";"82";"46.2";"5.483333";"1.91"
"48";"Bouligneux";"BOULIGNEUX";"01330";"1052";"82";"46.016667";"5";"1.17"
"49";"Bourg-en-Bresse";"BOURG EN BRESSE";"01000";"1053";"82";"46.2";"5.216667";"1"
"50";"Bourg-Saint-Christophe";"BOURG SAINT CHRISTOPHE";"01800";"1054";"82";"45.883333";"5.166667";"1.21"
